TIC,latitude,longitude,Tmag,GAIAmag,Vmag,Jmag,Kmag,Teff,logg,MH,lumclass,rad,e_rad,mass,numcont,contratio,pmRA,pmDEC,Sectors,Epoch,Period,Duration,Depth,Depth,Tmag,Delta Tmag
1003831,-16.03628,130.2951647,10.6701,11.1424,11.097,10.044,9.604,5550,4.32801,,DWARF,1.12196,0.0548141,0.977,207,0.034352396,-2.50757,-11.0249,2_3,2458354.382,0.50457,1.31,18360,,13.5029,4.340318308
1103432,-17.18943511,130.5814567,12.8283,13.2168,13.4,12.267,11.963,6065.82,3.96992,-0.169824,DWARF,1.82228,0.0976309,1.13,204,0.093672305,-3.97319,2.48254,2_3,2458354.377,2.99995,1.458,8380,,11.3534,5.191889953
1129033,-7.060660747,37.15511493,9.62713,10.0966,10.294,8.766,8.405,5605,4.49347,0.07,DWARF,0.933975,0.0429146,0.991,22,0.184967637,93.8886,-1.56683,14_15_17_18_19_20_21_22_23,2458687.58,6.706187,1.968024,559.476315,,11.4106,8.130545736
1133072,-28.07657311,131.085907,12.625,13.8038,15.34,11.172,10.282,3471,4.74129,,DWARF,0.495561,0.0148445,0.493652,453,0.2834435,48.691,-45.7425,7,2458491.94,0.54771,1.113,8268.780273,,10.1796,5.206396371
1449640,-35.20261053,75.17161407,11.921,12.2601,12.399,11.456,11.202,6411,4.1038,,DWARF,1.66889,0.0794196,1.29,44,0.00057898,-6.44752,-14.7907,1_12_13,2458325.703,2.76898,4.619,2100,,11.4964,6.694451763
1528696,-30.39936645,75.79542865,13.1686,13.8175,14.237,12.222,11.65,4669,4.5199,,DWARF,0.782888,,0.74,,,-9.33853,-21.995,12_13,2458626.542,2.78186,2.456,490,,9.5162,8.2745098
2758565,-17.44919012,356.2831448,12.3611,12.7992,13.064,11.701,11.249,5807,4.31866,,DWARF,1.17009,0.0698894,1.04,24,0.014541033,-19.3257,-17.2144,16_17,2458740.107,2.72687,2.467,980,,10.4602,7.521934811
4616072,-21.91072707,101.9942603,12.8893,13.2385,13.325,12.364,12.137,6600,4.39297,,DWARF,1.23733,0.0545729,1.38,472,0.0882337,-3.18139,3.68278,2,2458354.866,1.26092,2.718,4825.939941,,12.3571,5.791045218
4646810,-10.3517813,38.27201076,8.8723,9.47728,9.78,8.035,7.459,4884,4.59786,-0.01,DWARF,0.74413,0.0558769,0.8,20,0.0000416,-173.029,-92.131,4_5,2458411.844,3.353062,1.957545,3743.0271,,12.9383,6.066942571
4897275,35.11165494,148.1605375,7.6474,8.08235,8.25,7.055,6.684,5853.7,4.38636,,DWARF,1.09271,0.0444724,1.06,39,0.000417827,264.673,-150.27,1_2,2458342.852,19.981867,2.991231,1046.211182,,10.1985,7.450951606
5109298,-5.432661572,107.5981093,10.6698,10.6932,10.584,10.502,10.469,9385,4.12011,,DWARF,2.22468,0.105417,2.38,618,0.797063947,-4.42585,-4.12628,2_3,2458355.021,1.29866,2.017,8460,,13.4735,5.181574092
5772442,-7.129637469,111.7665749,10.351,10.7981,10.715,9.701,9.342,5806,3.64403,,DWARF,2.54901,0.179684,1.044,579,0.030702112,-26.8594,-13.6314,7,2458493.15,2.67425,3.779,1920,,10.5484,6.791746928
5868998,-23.77356389,187.7821538,13.9372,14.9909,15.887,12.231,11.275,3644,4.37169,,DWARF,0.783601,,0.527,,,-35.2357,-35.0438,8,2458492.904,1.90879,1.909,618.481995,,10.5551,8.021682347
6663331,-49.13848775,284.3996885,13.2887,13.7929,13.981,12.522,12.086,5500,4.46678,,DWARF,0.947934,,0.96,,,11.096,-5.76422,18_19,2458818.128,10.95475,3.775,4140,,9.353,5.957499147
7088246,-50.06734584,286.366701,13.2851,13.752,13.84,12.636,12.262,5759,4.40852,,DWARF,1.05,,1.03,,,7.3145,-0.861699,7_8,2458496.147,4.99682,4.08,1010,,10.5248,7.489196566
7413227,-27.99306094,212.6477947,9.46381,9.85136,10.049,8.854,8.587,6168,3.82738,,DWARF,2.19052,0.110736,1.176,122,0.061388534,5.06987,-2.61553,14_15_16_17_18_19,2458692.382,10.941661,2.688123,479.434215,,10.5783,8.298177439
7561203,-11.15129862,114.3461802,10.1137,10.1048,10.058,9.988,9.989,9855,4.18181,,DWARF,2.13222,0.109005,2.52,565,0.547038853,-3.17761,-0.656067,9,2458543.255,3.984627,2.398698,389.733826,,7.3635,8.523079748
7624182,-38.84416883,64.31142478,8.7929,8.8251,8.84,8.633,8.614,8959,3.80171,,DWARF,3.12776,0.0960604,2.26,34,0.008849955,11.4495,-0.540409,1_2,2458325.65,3.795609,2.042805,55371.0846,,14.1266,3.141792424
8400842,57.81719224,65.46960174,9.441,9.73889,9.854,9.013,8.791,6673,4.13313,-0.04,DWARF,1.68685,0.167223,1.41,459,0.007399289,-2.51565,4.00264,7,2458501.312,11.10934,4.439,6220,,10.6412,5.515524038
8767448,33.88241661,140.1029766,9.98111,10.38,10.424,9.442,9.119,5914,4.06962,0.05,DWARF,1.58536,0.0895476,1.076,48,0.016923236,-2.15497,-20.319,15_16,2458712.05,1.41072,2.623,500,,9.32845,8.252574989
8967242,34.3031907,167.2329623,8.3662,8.81013,8.98,7.73,7.381,5690,4.48062,,DWARF,0.956941,0.0464397,1.01,17,0.000139237,-9.03261,-40.8345,1,2458328.085,3.043839,2.660993,24143.22266,,13.163,4.043011901
8988289,-9.882091372,354.7592891,13.1186,13.8885,14.375,11.97,11.197,4245,4.34851,,DWARF,0.900637,,0.66,,,-30.1272,16.0569,9_10_11,2458547.382,5.65293,2.928,1180,,9.7318,7.320294982
9006668,-18.60664543,349.2313233,9.9266,10.4883,10.748,9.214,8.598,5029,4.59386,,DWARF,0.766028,0.0475477,0.84,33,0.027382461,-53.2377,-0.195451,17,2458765.606,6.364103,2.553493,2514.17334,,10.5508,6.499011958
9032368,-11.26949654,355.9018693,13.2889,13.7075,14.071,12.647,12.278,5997,4.38895,,DWARF,1.11486,,1.11,,,11.2611,-17.047,10_11,2458569.714,0.831542,1.985538,248.969589,,8.6014,9.009634244
9033144,-19.82391579,349.6061821,9.74346,10.1518,10.304,9.193,8.85,5954.5,4.3178,-0.21,DWARF,1.19908,0.0563518,1.09,31,0.009168129,18.43,16.9426,1_5_8_9_10_11,2458327.68,3.31021,2.377,2960,,8.9904,6.321770722
