Tool,Rate 1,Rate 2
AMBUR,0.103026175,0.103026175
AMBUR,0.101918392,0.101918392
AMBUR,0.101694907,0.101694907
AMBUR,0.101471421,0.101471421
AMBUR,0.100353994,0.100353994
AMBUR,0.100130509,0.100130509
AMBUR,0.099907023,0.099907023
AMBUR,0.098789596,0.098789596
AMBUR,0.098566111,0.098566111
AMBUR,0.104454071,0.104454071
AMBUR,0.091484895,0.091484895
AMBUR,0.088891059,0.088891059
AMBUR,0.086297224,0.086297224
AMBUR,0.073328048,0.073328048
AMBUR,0.070734213,0.070734213
AMBUR,0.070496841,0.070496841
AMBUR,0.105695521,0.105695521
AMBUR,0.111910425,0.111910425
AMBUR,0.142984946,0.142984946
AMBUR,0.14919985,0.14919985
AMBUR,0.155344452,0.155344452
AMBUR,0.161322141,0.161322141
AMBUR,0.191210582,0.191210582
AMBUR,0.195337761,0.195337761
AMBUR,0.199759276,0.199759276
AMBUR,0.200496195,0.200496195
AMBUR,0.201233115,0.201233115
AMBUR,0.20491771,0.20491771
AMBUR,0.20565463,0.20565463
AMBUR,0.206391549,0.206391549
AMBUR,0.210076145,0.210076145
AMBUR,0.210939076,0.210939076
AMBUR,0.221405376,0.221405376
AMBUR,0.22314976,0.22314976
AMBUR,0.224894143,0.224894143
AMBUR,0.23361606,0.23361606
AMBUR,0.235360444,0.235360444
AMBUR,0.237104827,0.237104827
AMBUR,0.252912363,0.252912363
AMBUR,0.258655501,0.258655501
AMBUR,0.264398639,0.264398639
AMBUR,0.293114328,0.293114328
AMBUR,0.298857466,0.298857466
AMBUR,0.304600604,0.304600604
AMBUR,0.333316293,0.333316293
AMBUR,0.339059431,0.339059431
AMBUR,0.344802568,0.344802568
AMBUR,0.35192748,0.35192748
AMBUR,0.352110589,0.352110589
AMBUR,0.352293699,0.352293699
AMBUR,0.353392354,0.353392354
AMBUR,0.353575464,0.353575464
AMBUR,0.35449101,0.35449101
AMBUR,0.354807112,0.354807112
AMBUR,0.35573168,0.35573168
AMBUR,0.36127909,0.36127909
AMBUR,0.362203658,0.362203658
AMBUR,0.377883033,0.377883033
AMBUR,0.381224316,0.381224316
AMBUR,0.384565598,0.384565598
AMBUR,0.379206452,0.379206452
AMBUR,0.377700592,0.377700592
AMBUR,0.376194732,0.376194732
AMBUR,0.368665434,0.368665434
AMBUR,0.367159574,0.367159574
AMBUR,0.365653714,0.365653714
AMBUR,0.358124416,0.358124416
AMBUR,0.355498659,0.355498659
AMBUR,0.352529876,0.352529876
AMBUR,0.33768596,0.33768596
AMBUR,0.334717177,0.334717177
AMBUR,0.331748394,0.331748394
AMBUR,0.316904479,0.316904479
AMBUR,0.313935696,0.313935696
AMBUR,0.310966913,0.310966913
AMBUR,0.297970365,0.297970365
